track_name,track_id,popularity,album_name,album_id,release_date,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genres,country
Mood (feat. iann dior),3tjFYV6RSFtuktYl3ZtYcq,99,Mood (feat. iann dior),4YMnOf4a7obOcN1Gy2QEuM,2020-07-24,24kGoldn,6fWVd57NKTalqvmjRd2t8Z,0.7,0.722,7,-3.5580000000000003,0,0.0369,0.221,0.0,0.272,0.7559999999999999,90.98899999999999,audio_features,3tjFYV6RSFtuktYl3ZtYcq,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,https://api.spotify.com/v1/tracks/3tjFYV6RSFtuktYl3ZtYcq,https://api.spotify.com/v1/audio-analysis/3tjFYV6RSFtuktYl3ZtYcq,140526,4,['cali rap'],Indonesia
Dynamite,0t1kP63rueHleOhQkYSXFY,96,Dynamite (DayTime Version),6K4chJALBBMYmXjwgvqahx,2020-08-28,BTS,3Nrfpe0tUJi4K4DXYWgMUX,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,audio_features,0t1kP63rueHleOhQkYSXFY,spotify:track:0t1kP63rueHleOhQkYSXFY,https://api.spotify.com/v1/tracks/0t1kP63rueHleOhQkYSXFY,https://api.spotify.com/v1/audio-analysis/0t1kP63rueHleOhQkYSXFY,199054,4,"['k-pop', 'k-pop boy group']",Indonesia
Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,96,After Hours,4yP0hdKOZPNshxUOjY0cZj,2020-03-20,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.33399999999999996,171.005,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4,"['canadian contemporary r&b', 'canadian pop', 'pop']",Indonesia
positions,35mvY5S1H3J2QZyna3TFe0,96,Positions,3euz4vS7ezKGnNSwgyvKcd,2020-10-30,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,0.737,0.802,0,-4.771,1,0.0878,0.46799999999999997,0.0,0.0931,0.682,144.015,audio_features,35mvY5S1H3J2QZyna3TFe0,spotify:track:35mvY5S1H3J2QZyna3TFe0,https://api.spotify.com/v1/tracks/35mvY5S1H3J2QZyna3TFe0,https://api.spotify.com/v1/audio-analysis/35mvY5S1H3J2QZyna3TFe0,172325,4,"['pop', 'post-teen pop']",Indonesia
WAP (feat. Megan Thee Stallion),4Oun2ylbjFKMPTiaSbbCih,95,WAP (feat. Megan Thee Stallion),2ogiazbrNEx0kQHGl5ZBTQ,2020-08-07,Cardi B,4kYSro6naA4h99UJvo89HB,0.935,0.45399999999999996,1,-7.5089999999999995,1,0.375,0.0194,0.0,0.0824,0.35700000000000004,133.07299999999998,audio_features,4Oun2ylbjFKMPTiaSbbCih,spotify:track:4Oun2ylbjFKMPTiaSbbCih,https://api.spotify.com/v1/tracks/4Oun2ylbjFKMPTiaSbbCih,https://api.spotify.com/v1/audio-analysis/4Oun2ylbjFKMPTiaSbbCih,187541,4,"['pop', 'pop rap', 'rap']",Indonesia
What You Know Bout Love,1tkg4EHVoqnhR6iFEXb60y,95,Shoot For The Stars Aim For The Moon,7e7t0MCrNDcJZsPwUKjmOc,2020-07-03,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,0.7090000000000001,0.5479999999999999,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.5429999999999999,83.995,audio_features,1tkg4EHVoqnhR6iFEXb60y,spotify:track:1tkg4EHVoqnhR6iFEXb60y,https://api.spotify.com/v1/tracks/1tkg4EHVoqnhR6iFEXb60y,https://api.spotify.com/v1/audio-analysis/1tkg4EHVoqnhR6iFEXb60y,160000,4,['brooklyn drill'],Indonesia
Lonely (with benny blanco),4y4spB9m0Q6026KfkAvy9Q,95,Lonely (with benny blanco),3P5WIUJO0Ots1lQx09TOxk,2020-10-16,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,0.631,0.239,11,-7.071000000000001,0,0.0398,0.8640000000000001,0.0,0.11599999999999999,0.0927,79.859,audio_features,4y4spB9m0Q6026KfkAvy9Q,spotify:track:4y4spB9m0Q6026KfkAvy9Q,https://api.spotify.com/v1/tracks/4y4spB9m0Q6026KfkAvy9Q,https://api.spotify.com/v1/audio-analysis/4y4spB9m0Q6026KfkAvy9Q,149297,4,"['canadian pop', 'pop', 'post-teen pop']",Indonesia
Therefore I Am,54bFM56PmE4YLRnqpW6Tha,94,Therefore I Am,5G58VVE9ub1KE01Mvbd8XM,2020-11-12,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,audio_features,54bFM56PmE4YLRnqpW6Tha,spotify:track:54bFM56PmE4YLRnqpW6Tha,https://api.spotify.com/v1/tracks/54bFM56PmE4YLRnqpW6Tha,https://api.spotify.com/v1/audio-analysis/54bFM56PmE4YLRnqpW6Tha,174321,4,"['electropop', 'pop']",Indonesia
you broke me first,45bE4HXI0AwGZXfZtMp8JR,94,you broke me first,1RWiRfdNZKDe8VXzzf2VEc,2020-04-17,Tate McRae,45dkTj5sMRSjrmBSBeiHym,0.642,0.374,4,-9.386000000000001,1,0.0545,0.7859999999999999,0.0,0.0906,0.0799,124.09899999999999,audio_features,45bE4HXI0AwGZXfZtMp8JR,spotify:track:45bE4HXI0AwGZXfZtMp8JR,https://api.spotify.com/v1/tracks/45bE4HXI0AwGZXfZtMp8JR,https://api.spotify.com/v1/audio-analysis/45bE4HXI0AwGZXfZtMp8JR,169266,4,"['electropop', 'pop', 'post-teen pop']",Indonesia
Holy (feat. Chance The Rapper),5u1n1kITHCxxp8twBcZxWy,94,Holy,4hR7jjsPvRwwcHx8ntJSQS,2020-09-18,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,0.6729999999999999,0.7040000000000001,6,-8.056000000000001,1,0.36,0.196,0.0,0.0898,0.37200000000000005,86.919,audio_features,5u1n1kITHCxxp8twBcZxWy,spotify:track:5u1n1kITHCxxp8twBcZxWy,https://api.spotify.com/v1/tracks/5u1n1kITHCxxp8twBcZxWy,https://api.spotify.com/v1/audio-analysis/5u1n1kITHCxxp8twBcZxWy,212093,4,"['canadian pop', 'pop', 'post-teen pop']",Indonesia
Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,93,Fine Line,7xV2TzoaVc0ycW7fwBwAml,2019-12-13,Harry Styles,6KImCVD70vtIoJWnq6nGn3,0.5479999999999999,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,audio_features,6UelLqGlWMcVH1E5c4H7lY,spotify:track:6UelLqGlWMcVH1E5c4H7lY,https://api.spotify.com/v1/tracks/6UelLqGlWMcVH1E5c4H7lY,https://api.spotify.com/v1/audio-analysis/6UelLqGlWMcVH1E5c4H7lY,174000,4,"['pop', 'post-teen pop']",Indonesia
ROCKSTAR (feat. Roddy Ricch),7ytR5pFWmSjzHJIeQkgog4,93,BLAME IT ON BABY,623PL2MBg50Br5dLXC9E9e,2020-04-17,DaBaby,4r63FhuTkUYltbVAg5TQnk,0.746,0.69,11,-7.956,1,0.16399999999999998,0.247,0.0,0.10099999999999999,0.49700000000000005,89.977,audio_features,7ytR5pFWmSjzHJIeQkgog4,spotify:track:7ytR5pFWmSjzHJIeQkgog4,https://api.spotify.com/v1/tracks/7ytR5pFWmSjzHJIeQkgog4,https://api.spotify.com/v1/audio-analysis/7ytR5pFWmSjzHJIeQkgog4,181733,4,"['north carolina hip hop', 'rap']",Indonesia
Life Goes On,249gnXrbfmV8NG6jTEMSwD,93,BE,2qehskW9lYGWfYb0xPZkrS,2020-11-20,BTS,3Nrfpe0tUJi4K4DXYWgMUX,0.5660000000000001,0.716,1,-5.733,1,0.0424,0.0069099999999999995,0.0,0.37,0.45,81.068,audio_features,249gnXrbfmV8NG6jTEMSwD,spotify:track:249gnXrbfmV8NG6jTEMSwD,https://api.spotify.com/v1/tracks/249gnXrbfmV8NG6jTEMSwD,https://api.spotify.com/v1/audio-analysis/249gnXrbfmV8NG6jTEMSwD,207481,4,"['k-pop', 'k-pop boy group']",Indonesia
Heather,4xqrdfXkTW4T0RauPLv3WA,93,Kid Krow,2CMlkzFI2oDAy5MbyV7OV5,2020-03-20,Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,0.35700000000000004,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.07799999999999,audio_features,4xqrdfXkTW4T0RauPLv3WA,spotify:track:4xqrdfXkTW4T0RauPLv3WA,https://api.spotify.com/v1/tracks/4xqrdfXkTW4T0RauPLv3WA,https://api.spotify.com/v1/audio-analysis/4xqrdfXkTW4T0RauPLv3WA,198040,3,"['bedroom pop', 'electropop', 'indie pop', 'pop']",Indonesia
Put Your Records On,6AGOKlMZWLCaEJGnaROtF9,92,Put Your Records On,6K7559pAYrNCJwsv1uIIK7,2020-04-24,Ritt Momney,7MPGCB854Qo4alYMOPkBka,0.39899999999999997,0.491,6,-10.777999999999999,0,0.0538,0.0563,0.0008900000000000001,0.11,0.151,91.066,audio_features,6AGOKlMZWLCaEJGnaROtF9,spotify:track:6AGOKlMZWLCaEJGnaROtF9,https://api.spotify.com/v1/tracks/6AGOKlMZWLCaEJGnaROtF9,https://api.spotify.com/v1/audio-analysis/6AGOKlMZWLCaEJGnaROtF9,210463,4,['bedroom pop'],Indonesia
Wonder,5KCbr5ndeby4y4ggthdiAb,92,Wonder,7vif3nVzXURIrjGjHeHytB,2020-10-02,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,0.33299999999999996,0.637,1,-4.904,0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,audio_features,5KCbr5ndeby4y4ggthdiAb,spotify:track:5KCbr5ndeby4y4ggthdiAb,https://api.spotify.com/v1/tracks/5KCbr5ndeby4y4ggthdiAb,https://api.spotify.com/v1/audio-analysis/5KCbr5ndeby4y4ggthdiAb,172693,4,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",Indonesia
34+35,6Im9k8u9iIzKMrmV7BWtlF,92,Positions,3euz4vS7ezKGnNSwgyvKcd,2020-10-30,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,audio_features,6Im9k8u9iIzKMrmV7BWtlF,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,https://api.spotify.com/v1/tracks/6Im9k8u9iIzKMrmV7BWtlF,https://api.spotify.com/v1/audio-analysis/6Im9k8u9iIzKMrmV7BWtlF,173711,4,"['pop', 'post-teen pop']",Indonesia
Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,91,Savage Love (Laxed - Siren Beat),1XMw3pBrYeXzNXZXc84DNw,2020-06-11,Jawsh 685,56mfhUDKa1vec6rSLZV5Eg,0.767,0.48100000000000004,0,-8.52,0,0.0803,0.23399999999999999,0.0,0.26899999999999996,0.7609999999999999,150.076,audio_features,1xQ6trAsedVPCdbtDAmk0c,spotify:track:1xQ6trAsedVPCdbtDAmk0c,https://api.spotify.com/v1/tracks/1xQ6trAsedVPCdbtDAmk0c,https://api.spotify.com/v1/audio-analysis/1xQ6trAsedVPCdbtDAmk0c,171375,4,['nz pop'],Indonesia
Monster (Shawn Mendes & Justin Bieber),2Z8yfpFX0ZMavHkcIeHiO1,90,Monster,3yVVL2EYLp8g7gT08VvYKy,2020-11-20,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,0.652,0.38299999999999995,2,-7.0760000000000005,0,0.0516,0.0676,0.0,0.0828,0.5489999999999999,145.765,audio_features,2Z8yfpFX0ZMavHkcIeHiO1,spotify:track:2Z8yfpFX0ZMavHkcIeHiO1,https://api.spotify.com/v1/tracks/2Z8yfpFX0ZMavHkcIeHiO1,https://api.spotify.com/v1/audio-analysis/2Z8yfpFX0ZMavHkcIeHiO1,178994,4,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",Indonesia
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,90,Divinely Uninspired To A Hellish Extent,5658aM19fA3JVwTK6eQX70,2019-05-17,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,0.501,0.405,1,-5.678999999999999,1,0.0319,0.7509999999999999,0.0,0.105,0.446,109.891,audio_features,7qEHsqek33rTcFNT9PFqLf,spotify:track:7qEHsqek33rTcFNT9PFqLf,https://api.spotify.com/v1/tracks/7qEHsqek33rTcFNT9PFqLf,https://api.spotify.com/v1/audio-analysis/7qEHsqek33rTcFNT9PFqLf,182161,4,"['pop', 'uk pop']",Indonesia
