track_name,track_id,popularity,album_name,album_id,release_date,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genres,country
Dakiti,47EiUVwUp4C9fGccaPuUCS,100,Dakiti,43dl8hP5uNN9s6YeeJA5fv,2020-10-30,Bad Bunny,4q3ewBCX7sLwd24euuV69X,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,audio_features,47EiUVwUp4C9fGccaPuUCS,spotify:track:47EiUVwUp4C9fGccaPuUCS,https://api.spotify.com/v1/tracks/47EiUVwUp4C9fGccaPuUCS,https://api.spotify.com/v1/audio-analysis/47EiUVwUp4C9fGccaPuUCS,205090,4,"['latin', 'reggaeton', 'trap latino']",Switzerland
Mood (feat. iann dior),3tjFYV6RSFtuktYl3ZtYcq,99,Mood (feat. iann dior),4YMnOf4a7obOcN1Gy2QEuM,2020-07-24,24kGoldn,6fWVd57NKTalqvmjRd2t8Z,0.7,0.722,7,-3.5580000000000003,0,0.0369,0.221,0.0,0.272,0.7559999999999999,90.98899999999999,audio_features,3tjFYV6RSFtuktYl3ZtYcq,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,https://api.spotify.com/v1/tracks/3tjFYV6RSFtuktYl3ZtYcq,https://api.spotify.com/v1/audio-analysis/3tjFYV6RSFtuktYl3ZtYcq,140526,4,['cali rap'],Switzerland
positions,35mvY5S1H3J2QZyna3TFe0,96,Positions,3euz4vS7ezKGnNSwgyvKcd,2020-10-30,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,0.737,0.802,0,-4.771,1,0.0878,0.46799999999999997,0.0,0.0931,0.682,144.015,audio_features,35mvY5S1H3J2QZyna3TFe0,spotify:track:35mvY5S1H3J2QZyna3TFe0,https://api.spotify.com/v1/tracks/35mvY5S1H3J2QZyna3TFe0,https://api.spotify.com/v1/audio-analysis/35mvY5S1H3J2QZyna3TFe0,172325,4,"['pop', 'post-teen pop']",Switzerland
Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,96,After Hours,4yP0hdKOZPNshxUOjY0cZj,2020-03-20,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.33399999999999996,171.005,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4,"['canadian contemporary r&b', 'canadian pop', 'pop']",Switzerland
Dynamite,0t1kP63rueHleOhQkYSXFY,96,Dynamite (DayTime Version),6K4chJALBBMYmXjwgvqahx,2020-08-28,BTS,3Nrfpe0tUJi4K4DXYWgMUX,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,audio_features,0t1kP63rueHleOhQkYSXFY,spotify:track:0t1kP63rueHleOhQkYSXFY,https://api.spotify.com/v1/tracks/0t1kP63rueHleOhQkYSXFY,https://api.spotify.com/v1/audio-analysis/0t1kP63rueHleOhQkYSXFY,199054,4,"['k-pop', 'k-pop boy group']",Switzerland
Lonely (with benny blanco),4y4spB9m0Q6026KfkAvy9Q,95,Lonely (with benny blanco),3P5WIUJO0Ots1lQx09TOxk,2020-10-16,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,0.631,0.239,11,-7.071000000000001,0,0.0398,0.8640000000000001,0.0,0.11599999999999999,0.0927,79.859,audio_features,4y4spB9m0Q6026KfkAvy9Q,spotify:track:4y4spB9m0Q6026KfkAvy9Q,https://api.spotify.com/v1/tracks/4y4spB9m0Q6026KfkAvy9Q,https://api.spotify.com/v1/audio-analysis/4y4spB9m0Q6026KfkAvy9Q,149297,4,"['canadian pop', 'pop', 'post-teen pop']",Switzerland
WAP (feat. Megan Thee Stallion),4Oun2ylbjFKMPTiaSbbCih,95,WAP (feat. Megan Thee Stallion),2ogiazbrNEx0kQHGl5ZBTQ,2020-08-07,Cardi B,4kYSro6naA4h99UJvo89HB,0.935,0.45399999999999996,1,-7.5089999999999995,1,0.375,0.0194,0.0,0.0824,0.35700000000000004,133.07299999999998,audio_features,4Oun2ylbjFKMPTiaSbbCih,spotify:track:4Oun2ylbjFKMPTiaSbbCih,https://api.spotify.com/v1/tracks/4Oun2ylbjFKMPTiaSbbCih,https://api.spotify.com/v1/audio-analysis/4Oun2ylbjFKMPTiaSbbCih,187541,4,"['pop', 'pop rap', 'rap']",Switzerland
What You Know Bout Love,1tkg4EHVoqnhR6iFEXb60y,95,Shoot For The Stars Aim For The Moon,7e7t0MCrNDcJZsPwUKjmOc,2020-07-03,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,0.7090000000000001,0.5479999999999999,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.5429999999999999,83.995,audio_features,1tkg4EHVoqnhR6iFEXb60y,spotify:track:1tkg4EHVoqnhR6iFEXb60y,https://api.spotify.com/v1/tracks/1tkg4EHVoqnhR6iFEXb60y,https://api.spotify.com/v1/audio-analysis/1tkg4EHVoqnhR6iFEXb60y,160000,4,['brooklyn drill'],Switzerland
Therefore I Am,54bFM56PmE4YLRnqpW6Tha,94,Therefore I Am,5G58VVE9ub1KE01Mvbd8XM,2020-11-12,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,audio_features,54bFM56PmE4YLRnqpW6Tha,spotify:track:54bFM56PmE4YLRnqpW6Tha,https://api.spotify.com/v1/tracks/54bFM56PmE4YLRnqpW6Tha,https://api.spotify.com/v1/audio-analysis/54bFM56PmE4YLRnqpW6Tha,174321,4,"['electropop', 'pop']",Switzerland
you broke me first,45bE4HXI0AwGZXfZtMp8JR,94,you broke me first,1RWiRfdNZKDe8VXzzf2VEc,2020-04-17,Tate McRae,45dkTj5sMRSjrmBSBeiHym,0.642,0.374,4,-9.386000000000001,1,0.0545,0.7859999999999999,0.0,0.0906,0.0799,124.09899999999999,audio_features,45bE4HXI0AwGZXfZtMp8JR,spotify:track:45bE4HXI0AwGZXfZtMp8JR,https://api.spotify.com/v1/tracks/45bE4HXI0AwGZXfZtMp8JR,https://api.spotify.com/v1/audio-analysis/45bE4HXI0AwGZXfZtMp8JR,169266,4,"['electropop', 'pop', 'post-teen pop']",Switzerland
