genre,cluster,Label 1,Label 2,Label 3,,
ambient,g7,edm,ambient,,ambient,
ambient idm,g6,edm,ambient,,,
ambient worship,g6,edm,ambient,,,
argentine ambient,g6,edm,ambient,,,
australian ambient,g6,edm,ambient,,,
compositional ambient,g7,edm,ambient,,ambient,
experimental ambient,g7,edm,ambient,,ambient,
j-ambient,g7,edm,ambient,,ambient,
nordic ambient,g7,edm,ambient,,ambient,
organic ambient,g6,edm,ambient,,,
space ambient,g6,edm,ambient,,,
bluegrass,g7,country,bluegrass,,bluegrass,
bluegrass fiddle,g6,country,bluegrass,,,
instrumental bluegrass,g6,country,bluegrass,,,
neo-traditional bluegrass,g6,country,bluegrass,,,
progressive bluegrass,g7,country,bluegrass,,bluegrass,
traditional bluegrass,g6,country,bluegrass,,,
acoustic blues,g7,blues,,,blues,
blues,g7,blues,,,blues,
british blues,g7,blues,,,blues,
canadian blues,g6,blues,,,,
chicago blues,g7,blues,,,blues,
country blues,g7,blues,country,,blues,country
deep delta blues,g6,blues,,,,
delta blues,g7,blues,,,blues,
desert blues,g6,blues,,,,
dutch blues,g6,blues,,,,
electric blues,g7,blues,,,blues,
finnish blues,g6,blues,,,,
garage punk blues,g6,blues,punk,,,
gospel blues,g6,blues,gospel,,,
harmonica blues,g7,blues,,,blues,
jump blues,g6,blues,,,,
louisiana blues,g7,blues,,,blues,
malian blues,g6,blues,,,,
memphis blues,g7,blues,,,blues,
modern blues,g7,blues,,,blues,
new orleans blues,g7,blues,,,blues,
piano blues,g7,blues,,,blues,
piedmont blues,g6,blues,,,,
polish blues,g6,blues,,,,
pre-war blues,g6,blues,,,,
punk blues,g7,blues,punk,,blues,
rebel blues,g6,blues,,,,
rhythm and blues,g6,blues,,,,
soul blues,g5,blues,soul,,,
southern soul blues,g6,blues,soul,,,
swamp blues,g6,blues,,,,
swedish blues,g6,blues,,,,
texas blues,g7,blues,,,blues,
traditional blues,g7,blues,,,blues,
chamber choir,g6,classical,chamber,,,
chamber ensemble,g6,classical,chamber,,,
chamber orchestra,g6,classical,chamber,,,
chamber psych,g7,classical,chamber,,,
21st century classical,g6,classical,,,,
african-american classical,g6,classical,,,,
american 21st century classical,g6,classical,,,,
american classical piano,g6,classical,,,,
american contemporary classical,g6,classical,,,,
american modern classical,g6,classical,,,,
american orchestra,g6,classical,,,,
australian classical,g6,classical,,,,
austrian classical piano,g6,classical,,,,
baltic classical,g6,classical,,,,
baroque,g6,classical,,,,
belgian contemporary classical,g6,classical,,,,
brazilian classical,g6,classical,,,,
brazilian contemporary classical,g6,classical,,,,
british contemporary classical,g6,classical,,,,
british modern classical,g6,classical,,,,
british orchestra,g6,classical,,,,
canadian classical,g6,classical,,,,
canadian classical piano,g6,classical,,,,
caucasian classical,g6,classical,,,,
chinese classical,g6,classical,,,,
chinese classical performance,g6,classical,,,,
chinese classical piano,g6,classical,,,,
classical,g6,classical,,,,
classical bass,g6,classical,,,,
classical cello,g6,classical,,,,
classical clarinet,g6,classical,,,,
classical era,g6,classical,,,,
classical guitar,g6,classical,,,,
classical harp,g6,classical,,,,
classical mandolin,g6,classical,,,,
classical mezzo-soprano,g6,classical,,,,
classical organ,g6,classical,,,,
classical performance,g6,classical,,,,
classical piano,g6,classical,,,,
classical piano trio,g6,classical,,,,
classical saxophone,g6,classical,,,,
classical soprano,g6,classical,,,,
classical tenor,g6,classical,,,,
classical trumpet,g6,classical,,,,
contemporary classical,g6,classical,,,,
czech classical,g6,classical,,,,
czech classical piano,g6,classical,,,,
danish classical,g6,classical,,,,
dutch classical piano,g6,classical,,,,
early modern classical,g6,classical,,,,
english baroque,g6,classical,,,,
english renaissance,g6,classical,,,,
finnish classical,g6,classical,,,,
french baroque,g6,classical,,,,
french classical piano,g6,classical,,,,
german baroque,g6,classical,,,,
german classical piano,g6,classical,,,,
german orchestra,g6,classical,,,,
german renaissance,g6,classical,,,,
greek contemporary classical,g6,classical,,,,
harlem renaissance,g6,classical,,,,
hindustani classical,g6,classical,,,,
historic classical performance,g6,classical,,,,
hungarian classical performance,g6,classical,,,,
hungarian classical piano,g6,classical,,,,
icelandic classical,g6,classical,,,,
indian classical,g6,classical,,,,
irish classical,g6,classical,,,,
israeli classical,g6,classical,,,,
israeli classical piano,g6,classical,,,,
italian baroque,g6,classical,,,,
italian contemporary classical,g6,classical,,,,
italian renaissance,g6,classical,,,,
japanese classical,g6,classical,,,,
latin american classical piano,g6,classical,,,,
medieval,g6,classical,,,,
mexican classical,g6,classical,,,,
native american contemporary,g6,classical,,,,
neo classical metal,g6,classical,,,,
neo-classical,g6,classical,,,,
neoclassical darkwave,g6,classical,,,,
nordic orchestra,g6,classical,,,,
norwegian classical,g6,classical,,,,
orchestra,g6,classical,,,,
orchestral performance,g6,classical,,,,
oriental classical,g6,classical,,,,
polish classical,g6,classical,,,,
polish classical piano,g6,classical,,,,
polish contemporary classical,g6,classical,,,,
pops orchestra,g6,classical,,,,
radio symphony,g6,classical,,,,
renaissance,g6,classical,,,,
russian classical piano,g6,classical,,,,
russian modern classical,g6,classical,,,,
spanish baroque,g6,classical,,,,
spanish classical,g6,classical,,,,
spanish renaissance,g6,classical,,,,
swedish classical,g6,classical,,,,
turkish classical,g6,classical,,,,
turkish classical performance,g6,classical,,,,
ukrainian classical,g6,classical,,,,
ukrainian classical piano,g6,classical,,,,
urban contemporary,g5,classical,,,,
vallenato moderno,g6,classical,,,,
vintage classical singing,g6,classical,,,,
wind symphony,g6,classical,,,,
alberta country,g6,country,,,,
alternative country,g6,country,alternative,,,
arkansas country,g6,country,,,,
australian country,g6,country,,,,
bakersfield sound,g6,country,,,,
canadian contemporary country,g6,country,,,,
canadian country,g6,country,,,,
classic australian country,g6,country,,,,
contemporary country,g6,country,,,,
country,g6,country,,,,
country dawn,g6,country,,,,
country gospel,g6,country,gospel,,,
country rap,g6,country,rap,,,
country road,g6,country,,,,
deep contemporary country,g6,country,,,,
german country,g6,country,,,,
irish country,g6,country,,,,
neo-traditional country,g6,country,,,,
norwegian country,g6,country,,,,
oklahoma country,g6,country,,,,
outlaw country,g6,country,,,,
queer country,g6,country,,,,
south african country,g6,country,,,,
swedish country,g6,country,,,,
swiss country,g6,country,,,,
texas country,g6,country,,,,
traditional country,g6,country,,,,
truck-driving country,g6,country,,,,
vintage country folk,g6,country,folk,,,
modern salsa,g6,others,cuban,salsa,,
alternative dance,g7,edm,dance,alternative,dance,alternative
australian dance,g6,edm,dance,,,
belgian dance,g6,edm,dance,,,
belly dance,g6,edm,dance,,,
braindance,g7,edm,dance,,dance,
british dance band,g6,edm,dance,,,
bubblegum dance,g6,edm,dance,,,
german dance,g6,edm,dance,,,
intelligent dance music,g7,edm,dance,,dance,
irish dance,g6,edm,dance,,,
italo dance,g6,edm,dance,,,
j-dance,g6,edm,dance,,,
kids dance party,g6,edm,dance,,,
russian dance,g6,edm,dance,,,
uk dance,g6,edm,dance,,,
afro dancehall,g6,reggae,dancehall,,,
dancehall,g6,reggae,dancehall,,,
old school dancehall,g6,reggae,dancehall,,,
swedish dancehall,g6,reggae,dancehall,,,
uk dancehall,g6,reggae,dancehall,,,
dark disco,g6,r&b,disco,,,
deep disco,g6,r&b,disco,,,
deep italo disco,g6,r&b,disco,,,
disco,g5,r&b,disco,,,
disco polo,g6,r&b,disco,,,
discofox,g6,r&b,disco,,,
italian disco,g6,r&b,disco,,,
norwegian space disco,g6,r&b,disco,,,
nu disco,g6,r&b,disco,,,
dub,g6,reggae,dub,,,
dub poetry,g6,reggae,dub,,,
experimental dub,g6,reggae,dub,,,
minimal dub,g6,reggae,dub,,,
psydub,g6,reggae,dub,,,
uk dub,g6,reggae,dub,,,
bassline,g6,edm,,,,
belgian edm,g6,edm,,,,
big beat,g7,edm,,,,
birmingham grime,g6,edm,,,,
brazilian edm,g6,edm,,,,
breakbeat,g7,edm,,,,
breakcore,g6,edm,,,,
broken beat,g6,edm,,,,
cedm,g6,edm,,,,
chill lounge,g6,edm,,,,
classic dubstep,g6,edm,,,,
deep dubstep,g6,edm,,,,
downtempo,g7,edm,,,,
downtempo bass,g6,edm,,,,
drum and bass,g6,edm,,,,
dubstep,g6,edm,,,,
dubsteppe,g6,edm,,,,
dutch edm,g6,edm,,,,
edm,g6,edm,,,,
eurobeat,g6,edm,,,,
eurodance,g6,edm,,,,
finnish edm,g6,edm,,,,
funky breaks,g6,edm,,,,
funky tech house,g6,edm,house,,,
future bass,g6,edm,,,,
gaming dubstep,g6,edm,,,,
gaming edm,g6,edm,,,,
grime,g6,edm,,,,
hungarian edm,g6,edm,,,,
indian edm,g6,edm,,,,
indonesian edm,g6,edm,,,,
instrumental grime,g6,edm,,,,
italian lounge,g6,edm,,,,
jump up,g6,edm,,,,
lounge,g6,edm,,,,
melodic dubstep,g6,edm,,,,
mexican edm,g6,edm,,,,
new beat,g6,edm,,,,
nu skool breaks,g6,edm,,,,
russian edm,g6,edm,,,,
russian grime,g6,edm,,,,
swedish eurodance,g6,edm,,,,
turkish edm,g6,edm,,,,
uk funky,g6,edm,,,,
electro,g6,edm,electro,,,
bulgarian electronic,g6,edm,electronic,,,
canadian electronic,g6,edm,electronic,,,
cologne electronic,g7,edm,electronic,,electronic,
danish electronic,g6,edm,electronic,,,
dusseldorf electronic,g6,edm,electronic,,,
estonian electronic,g6,edm,electronic,,,
hamburg electronic,g6,edm,electronic,,,
icelandic electronic,g6,edm,electronic,,,
indian electronic,g6,edm,electronic,,,
japanese electronic,g7,edm,electronic,,electronic,
lithuanian electronic,g6,edm,electronic,,,
munich electronic,g6,edm,electronic,,,
nz electronic,g6,edm,electronic,,,
organic electronic,g6,edm,electronic,,,
polish electronica,g6,edm,electronic,,,
russian electronic,g6,edm,electronic,,,
scottish electronic,g7,edm,electronic,,electronic,
singaporean electronic,g6,edm,electronic,,,
slovak electronic,g6,edm,electronic,,,
slovenian electronic,g6,edm,electronic,,,
swedish electronic,g6,edm,electronic,,,
uk experimental electronic,g7,edm,electronic,,electronic,
ukrainian electronic,g6,edm,electronic,,,
vintage french electronic,g6,edm,electronic,,,
electronica,g7,edm,electronica,,,
ambient folk,g6,folk,,,,
american folk revival,g6,folk,,,,
anti-folk,g7,folk,,,folk,
antilliaanse folklore,g6,folk,,,,
appalachian folk,g7,folk,,,folk,
arab folk,g6,folk,,,,
armenian folk,g6,folk,,,,
australian indie folk,g6,folk,indie,,,
bahamian folk,g6,folk,,,,
baltic folk,g6,folk,,,,
bengali folk,g6,folk,,,,
boston folk,g6,folk,,,,
breton folk,g6,folk,,,,
british folk,g7,folk,,,folk,
canadian folk,g6,folk,,,,
canadian indie folk,g6,folk,indie,,,
cape verdean folk,g6,folk,,,,
chamber folk,g6,folk,chamber,,,
children's folk,g6,folk,,,,
contemporary folk,g6,folk,,,,
cornish folk,g6,folk,,,,
croatian folk,g6,folk,,,,
czech folk,g6,folk,,,,
deep neofolk,g6,folk,,,,
drone folk,g6,folk,,,,
dutch folk,g6,folk,,,,
early american folk,g6,folk,,,,
ectofolk,g6,folk,,,,
estonian folk,g6,folk,,,,
flemish folk,g6,folk,,,,
folk,g3,folk,,,,
folk brasileiro,g6,folk,,,,
folk punk,g6,folk,punk,,,
folk siciliana,g6,folk,,,,
folklore argentino,g6,folk,,,,
folklore boliviano,g6,folk,,,,
folklore chileno,g6,folk,,,,
folklore ecuatoriano,g6,folk,,,,
folklore paraguayo,g6,folk,,,,
folklore peruano,g6,folk,,,,
folklore uruguayo,g6,folk,,,,
folklore venezolano,g6,folk,,,,
folklore veracruzano,g6,folk,,,,
freak folk,g7,folk,,,folk,
free folk,g6,folk,,,,
french folk,g6,folk,,,,
french indie folk,g6,folk,indie,,,
geek folk,g6,folk,,,,
georgian folk,g6,folk,,,,
german indie folk,g6,folk,indie,,,
greek folk,g6,folk,,,,
hungarian folk,g6,folk,,,,
icelandic folk,g6,folk,,,,
indian folk,g6,folk,,,,
indie anthem-folk,g6,folk,indie,,,
indie folk,g6,folk,indie,,,
indie folk italiano,g6,folk,indie,,,
indonesian folk,g6,folk,,,,
irish folk,g6,folk,,,,
israeli folk,g6,folk,,,,
japanese folk,g6,folk,,,,
japanese indie folk,g6,folk,indie,,,
kentucky mountain folk,g6,folk,,,,
latvian folk,g6,folk,,,,
macedonian folk,g6,folk,,,,
medieval folk,g6,folk,,,,
neofolk,g6,folk,,,,
nl folk,g6,folk,,,,
nordic folk,g6,folk,,,,
nz folk,g6,folk,,,,
okinawan folk,g6,folk,,,,
pakistani folk,g6,folk,,,,
polish folk,g6,folk,,,,
portuguese folk,g6,folk,,,,
psychedelic folk,g7,folk,,,folk,
puerto rican folk,g6,folk,,,,
punjabi folk,g6,folk,,,,
romanian folk,g6,folk,,,,
rune folk,g6,folk,,,,
russian folk,g6,folk,,,,
scottish folk,g6,folk,,,,
slovak folk,g6,folk,,,,
string folk,g6,folk,,,,
swedish indie folk,g6,folk,indie,,,
taiwan campus folk,g6,folk,,,,
thai folk,g6,folk,,,,
traditional british folk,g6,folk,,,,
traditional folk,g3,folk,,,,
turbo folk,g6,folk,,,,
turkish folk,g6,folk,,,,
viking folk,g6,folk,,,,
welsh folk,g6,folk,,,,
western saharan folk,g6,folk,,,,
yorkshire folk,g6,folk,,,,
afro-funk,g6,r&b,funk,,,
brega funk,g6,r&b,funk,,,
brit funk,g6,r&b,funk,,,
cumbia funk,g6,r&b,funk,,,
deep funk,g6,r&b,funk,,,
deep g funk,g6,r&b,funk,,,
funk,g5,r&b,funk,,,
funk 150 bpm,g6,r&b,funk,,,
funk bh,g6,r&b,funk,,,
funk carioca,g6,r&b,funk,,,
funk consciente,g6,r&b,funk,,,
funk das antigas,g6,r&b,funk,,,
funk melody,g6,r&b,funk,,,
funk mexicano,g6,r&b,funk,,,
funk ostentacao,g6,r&b,funk,,,
funk paulista,g6,r&b,funk,,,
future funk,g6,r&b,funk,,,
g funk,g6,r&b,funk,,,
instrumental funk,g6,r&b,funk,,,
latin funk,g6,r&b,funk,,,
liquid funk,g6,r&b,funk,,,
modern funk,g6,r&b,funk,,,
neurofunk,g6,r&b,funk,,,
new orleans funk,g6,r&b,funk,,,
p funk,g6,r&b,funk,,,
rave funk,g6,r&b,funk,,,
synth funk,g6,r&b,funk,,,
traditional funk,g6,r&b,funk,,,
african gospel,g6,blues,gospel,,,
bluegrass gospel,g7,blues,gospel,bluegrass,bluegrass,
brazilian gospel,g6,blues,gospel,,,
canadian ccm,g6,blues,gospel,,,
ccm,g6,blues,gospel,,,
contemporary gospel,g6,blues,gospel,,,
deep ccm,g6,blues,gospel,,,
family gospel,g6,blues,gospel,,,
german ccm,g6,blues,gospel,,,
gospel,g6,blues,gospel,,,
gospel antigas,g6,blues,gospel,,,
gospel italiano,g6,blues,gospel,,,
gospel singers,g6,blues,gospel,singer-songwriter,,
norwegian gospel,g6,blues,gospel,,,
russian ccm,g6,blues,gospel,,,
south african gospel,g6,blues,gospel,,,
southern gospel,g6,blues,gospel,,,
vintage gospel,g6,blues,gospel,,,
arab groove,g6,jazz,groove,,,
eastern bloc groove,g6,jazz,groove,,,
groove room,g6,jazz,groove,,,
rare groove,g6,jazz,groove,,,
argentine hardcore,g6,edm,hardcore,,,
boston hardcore,g6,edm,hardcore,,,
canadian hardcore,g6,edm,hardcore,,,
canadian post-hardcore,g6,edm,hardcore,,,
chaotic hardcore,g6,edm,hardcore,,,
chicago hardcore,g6,edm,hardcore,,,
chilean hardcore,g6,edm,hardcore,,,
christian hardcore,g6,edm,hardcore,,,
connecticut hardcore,g6,edm,hardcore,,,
dc hardcore,g6,edm,hardcore,,,
deep happy hardcore,g6,edm,hardcore,,,
digital hardcore,g7,edm,hardcore,,,
happy hardcore,g6,edm,hardcore,,,
hardcore,g6,edm,hardcore,,,
italian post-hardcore,g6,edm,hardcore,,,
japanese post-hardcore,g6,edm,hardcore,,,
melodic hardcore,g6,edm,hardcore,,,
new jersey hardcore,g6,edm,hardcore,,,
nz hardcore,g6,edm,hardcore,,,
post-hardcore,g7,edm,hardcore,,,
post-post-hardcore,g6,edm,hardcore,,,
progressive post-hardcore,g6,edm,hardcore,,,
swedish hardcore,g6,edm,hardcore,,,
swedish post-hardcore,g6,edm,hardcore,,,
uk post-hardcore,g6,edm,hardcore,,,
abstract hip hop,g6,hip hop,,,,
albanian hip hop,g6,hip hop,,,,
alternative hip hop,g6,hip hop,alternative,,,
arabic hip hop,g6,hip hop,,,,
argentine hip hop,g6,hip hop,,,,
arkansas hip hop,g6,hip hop,,,,
